Date,Torah_hw,Torah_en
14/10/2025,שְׁמִינִי עֲצֶרֶת,Shmini Atzeret
15/10/2025,שִׂמְחַת תּוֹרָה,Simchat Torah
18/10/2025,פָּרָשַׁת בְּרֵאשִׁית,Parashat Bereshit
25/10/2025,פָּרָשַׁת נֹחַ,Parashat Noach
01/11/2025,פָּרָשַׁת לֶךְ־לְךָ,Parashat Lech-Lecha
08/11/2025,פָּרָשַׁת וַיֵּרָא,Parashat Vayera
15/11/2025,פָּרָשַׁת חַיֵּי שָֹרָה,Parashat Chayei Sara
22/11/2025,פָּרָשַׁת תּוֹלְדוֹת,Parashat Toldot
29/11/2025,פָּרָשַׁת וַיֵּצֵא,Parashat Vayetzei
06/12/2025,פָּרָשַׁת וַיִּשְׁלַח,Parashat Vayishlach
13/12/2025,פָּרָשַׁת וַיֵּשֶׁב,Parashat Vayeshev
14/12/2025,חֲנוּכָּה: א׳ נֵר,Chanukah: 1 Candle
15/12/2025,חֲנוּכָּה: ב׳ נֵרוֹת,Chanukah: 2 Candles
16/12/2025,חֲנוּכָּה: ג׳ נֵרוֹת,Chanukah: 3 Candles
17/12/2025,חֲנוּכָּה: ד׳ נֵרוֹת,Chanukah: 4 Candles
18/12/2025,חֲנוּכָּה: ה׳ נֵרוֹת,Chanukah: 5 Candles
19/12/2025,חֲנוּכָּה: ו׳ נֵרוֹת,Chanukah: 6 Candles
20/12/2025,חַג הַבָּנוֹת,Chag HaBanot
20/12/2025,חֲנוּכָּה: ז׳ נֵרוֹת,Chanukah: 7 Candles
20/12/2025,פָּרָשַׁת מִקֵּץ,Parashat Miketz
21/12/2025,חֲנוּכָּה: ח׳ נֵרוֹת,Chanukah: 8 Candles
22/12/2025,חֲנוּכָּה: יוֹם ח׳,Chanukah: 8th Day
27/12/2025,פָּרָשַׁת וַיִּגַּשׁ,Parashat Vayigash
03/01/2026,פָּרָשַׁת וַיְחִי,Parashat Vayechi
10/01/2026,פָּרָשַׁת שְׁמוֹת,Parashat Shemot
17/01/2026,פָּרָשַׁת וָאֵרָא,Parashat Vaera
24/01/2026,פָּרָשַׁת בֹּא,Parashat Bo
31/01/2026,שַׁבָּת שִׁירָה,Shabbat Shirah
31/01/2026,פָּרָשַׁת בְּשַׁלַּח,Parashat Beshalach
02/02/2026,טוּ בִּשְׁבָט,Tu BiShvat
07/02/2026,פָּרָשַׁת יִתְרוֹ,Parashat Yitro
14/02/2026,שַׁבָּת שְׁקָלִים,Shabbat Shekalim
14/02/2026,פָּרָשַׁת מִּשְׁפָּטִים,Parashat Mishpatim
21/02/2026,פָּרָשַׁת תְּרוּמָה,Parashat Terumah
28/02/2026,שַׁבָּת זָכוֹר,Shabbat Zachor
28/02/2026,פָּרָשַׁת תְּצַוֶּה,Parashat Tetzaveh
02/03/2026,עֶרֶב פּוּרִים,Erev Purim
03/03/2026,פּוּרִים,Purim
04/03/2026,שׁוּשָׁן פּוּרִים,Shushan Purim
07/03/2026,שַׁבָּת פּרה,Shabbat Parah
07/03/2026,פָּרָשַׁת כִּי תִשָּׂא,Parashat Ki Tisa
14/03/2026,שַׁבָּת הַחֹדֶשׁ,Shabbat HaChodesh
14/03/2026,פָּרָשַׁת וַיַּקְהֵל־פְקוּדֵי,Parashat Vayakhel-Pekudei
21/03/2026,פָּרָשַׁת וַיִּקְרָא,Parashat Vayikra
28/03/2026,שַׁבָּת הַגָּדוֹל,Shabbat HaGadol
28/03/2026,פָּרָשַׁת צַו,Parashat Tzav
01/04/2026,עֶרֶב פֶּסַח,Erev Pesach
02/04/2026,פֶּסַח א׳,Pesach I
03/04/2026,פֶּסַח ב׳,Pesach II
04/04/2026,פֶּסַח ג׳ (חוה״מ),Pesach III (CH‚Äô‚ÄôM)
05/04/2026,פֶּסַח ד׳ (חוה״מ),Pesach IV (CH‚Äô‚ÄôM)
06/04/2026,פֶּסַח ה׳ (חוה״מ),Pesach V (CH‚Äô‚ÄôM)
07/04/2026,פֶּסַח ו׳ (חוה״מ),Pesach VI (CH‚Äô‚ÄôM)
08/04/2026,פֶּסַח ז׳,Pesach VII
09/04/2026,פֶּסַח ח׳,Pesach VIII
11/04/2026,פָּרָשַׁת שְּׁמִינִי,Parashat Shmini
18/04/2026,פָּרָשַׁת תַזְרִיעַ־מְּצֹרָע,Parashat Tazria-Metzora
25/04/2026,פָּרָשַׁת אַחֲרֵי מוֹת־קְדשִׁים,Parashat Achrei Mot-Kedoshim
01/05/2026,פֶּסַח שני,Pesach Sheni
02/05/2026,פָּרָשַׁת אֱמוֹר,Parashat Emor
05/05/2026,ל״ג בָּעוֹמֶר,Lag BaOmer
09/05/2026,פָּרָשַׁת בְּהַר־בְּחֻקֹּתַי,Parashat Behar-Bechukotai
16/05/2026,פָּרָשַׁת בְּמִדְבַּר,Parashat Bamidbar
21/05/2026,עֶרֶב שָׁבוּעוֹת,Erev Shavuot
22/05/2026,שָׁבוּעוֹת א׳,Shavuot I
23/05/2026,שָׁבוּעוֹת ב׳,Shavuot II
30/05/2026,פָּרָשַׁת נָשׂא,Parashat Nasso
06/06/2026,פָּרָשַׁת בְּהַעֲלֹתְךָ,Parashat Beha‚Äôalotcha
13/06/2026,פָּרָשַׁת שְׁלַח־לְךָ,Parashat Sh‚Äôlach
20/06/2026,פָּרָשַׁת קוֹרַח,Parashat Korach
27/06/2026,פָּרָשַׁת חֻקַּת־בָּלָק,Parashat Chukat-Balak
04/07/2026,פָּרָשַׁת פִּינְחָס,Parashat Pinchas
11/07/2026,פָּרָשַׁת מַּטּוֹת־מַסְעֵי,Parashat Matot-Masei
18/07/2026,שַׁבָּת חֲזוֹן,Shabbat Chazon
18/07/2026,פָּרָשַׁת דְּבָרִים,Parashat Devarim
22/07/2026,עֶרֶב תִּשְׁעָה בְּאָב,Erev Tish‚Äôa B‚ÄôAv
23/07/2026,תִּשְׁעָה בְּאָב,Tish‚Äôa B‚ÄôAv
25/07/2026,שַׁבָּת נַחֲמוּ,Shabbat Nachamu
25/07/2026,פָּרָשַׁת וָאֶתְחַנַּן,Parashat Vaetchanan
29/07/2026,טוּ בְּאָב,Tu B‚ÄôAv
01/08/2026,פָּרָשַׁת עֵקֶב,Parashat Eikev
08/08/2026,פָּרָשַׁת רְאֵה,Parashat Re‚Äôeh
14/08/2026,רֹאשׁ הַשָּׁנָה לְמַעְשַׂר בְּהֵמָה,Rosh Hashana LaBehemot
15/08/2026,פָּרָשַׁת שׁוֹפְטִים,Parashat Shoftim
22/08/2026,פָּרָשַׁת כִּי־תֵצֵא,Parashat Ki Teitzei
29/08/2026,פָּרָשַׁת כִּי־תָבוֹא,Parashat Ki Tavo
05/09/2026,סליחות,Leil Selichot
05/09/2026,פָּרָשַׁת נִצָּבִים־וַיֵּלֶךְ,Parashat Nitzavim-Vayeilech
11/09/2026,עֶרֶב רֹאשׁ הַשָּׁנָה,Erev Rosh Hashana
12/09/2026,רֹאשׁ הַשָּׁנָה 5787,Rosh Hashana 5787
13/09/2026,רֹאשׁ הַשָּׁנָה ב׳,Rosh Hashana II
19/09/2026,שַׁבָּת שׁוּבָה,Shabbat Shuva
19/09/2026,פָּרָשַׁת הַאֲזִינוּ,Parashat Ha‚Äôazinu
20/09/2026,עֶרֶב יוֹם כִּפּוּר,Erev Yom Kippur
21/09/2026,יוֹם כִּפּוּר,Yom Kippur
25/09/2026,עֶרֶב סוּכּוֹת,Erev Sukkot
26/09/2026,סוּכּוֹת א׳,Sukkot I
27/09/2026,סוּכּוֹת ב׳,Sukkot II
28/09/2026,סוּכּוֹת ג׳ (חוה״מ),Sukkot III (CH‚Äô‚ÄôM)
29/09/2026,סוּכּוֹת ד׳ (חוה״מ),Sukkot IV (CH‚Äô‚ÄôM)
30/09/2026,סוּכּוֹת ה׳ (חוה״מ),Sukkot V (CH‚Äô‚ÄôM)
01/10/2026,סוּכּוֹת ו׳ (חוה״מ),Sukkot VI (CH‚Äô‚ÄôM)
02/10/2026,סוּכּוֹת ז׳ (הוֹשַׁעְנָא רַבָּה),Sukkot VII (Hoshana Raba)
03/10/2026,שְׁמִינִי עֲצֶרֶת,Shmini Atzeret
04/10/2026,שִׂמְחַת תּוֹרָה,Simchat Torah
10/10/2026,פָּרָשַׁת בְּרֵאשִׁית,Parashat Bereshit
17/10/2026,פָּרָשַׁת נֹחַ,Parashat Noach
24/10/2026,פָּרָשַׁת לֶךְ־לְךָ,Parashat Lech-Lecha
31/10/2026,פָּרָשַׁת וַיֵּרָא,Parashat Vayera
07/11/2026,פָּרָשַׁת חַיֵּי שָֹרָה,Parashat Chayei Sara
14/11/2026,פָּרָשַׁת תּוֹלְדוֹת,Parashat Toldot
21/11/2026,פָּרָשַׁת וַיֵּצֵא,Parashat Vayetzei
28/11/2026,פָּרָשַׁת וַיִּשְׁלַח,Parashat Vayishlach
04/12/2026,חֲנוּכָּה: א׳ נֵר,Chanukah: 1 Candle
05/12/2026,חֲנוּכָּה: ב׳ נֵרוֹת,Chanukah: 2 Candles
05/12/2026,פָּרָשַׁת וַיֵּשֶׁב,Parashat Vayeshev
06/12/2026,חֲנוּכָּה: ג׳ נֵרוֹת,Chanukah: 3 Candles
07/12/2026,חֲנוּכָּה: ד׳ נֵרוֹת,Chanukah: 4 Candles
08/12/2026,חֲנוּכָּה: ה׳ נֵרוֹת,Chanukah: 5 Candles
09/12/2026,חֲנוּכָּה: ו׳ נֵרוֹת,Chanukah: 6 Candles
10/12/2026,חַג הַבָּנוֹת,Chag HaBanot
10/12/2026,חֲנוּכָּה: ז׳ נֵרוֹת,Chanukah: 7 Candles
11/12/2026,חֲנוּכָּה: ח׳ נֵרוֹת,Chanukah: 8 Candles
12/12/2026,חֲנוּכָּה: יוֹם ח׳,Chanukah: 8th Day
12/12/2026,פָּרָשַׁת מִקֵּץ,Parashat Miketz
19/12/2026,פָּרָשַׁת וַיִּגַּשׁ,Parashat Vayigash
26/12/2026,פָּרָשַׁת וַיְחִי,Parashat Vayechi
02/01/2027,פָּרָשַׁת שְׁמוֹת,Parashat Shemot
09/01/2027,פָּרָשַׁת וָאֵרָא,Parashat Vaera
16/01/2027,פָּרָשַׁת בֹּא,Parashat Bo
23/01/2027,טוּ בִּשְׁבָט,Tu BiShvat
23/01/2027,שַׁבָּת שִׁירָה,Shabbat Shirah
23/01/2027,פָּרָשַׁת בְּשַׁלַּח,Parashat Beshalach
30/01/2027,פָּרָשַׁת יִתְרוֹ,Parashat Yitro
06/02/2027,פָּרָשַׁת מִּשְׁפָּטִים,Parashat Mishpatim
13/02/2027,פָּרָשַׁת תְּרוּמָה,Parashat Terumah
20/02/2027,פָּרָשַׁת תְּצַוֶּה,Parashat Tetzaveh
21/02/2027,פּוּרִים קָטָן,Purim Katan
22/02/2027,שׁוּשָׁן פּוּרִים קָטָן,Shushan Purim Katan
27/02/2027,פָּרָשַׁת כִּי תִשָּׂא,Parashat Ki Tisa
06/03/2027,שַׁבָּת שְׁקָלִים,Shabbat Shekalim
06/03/2027,פָּרָשַׁת וַיַּקְהֵל,Parashat Vayakhel
13/03/2027,פָּרָשַׁת פְקוּדֵי,Parashat Pekudei
20/03/2027,שַׁבָּת זָכוֹר,Shabbat Zachor
20/03/2027,פָּרָשַׁת וַיִּקְרָא,Parashat Vayikra
22/03/2027,עֶרֶב פּוּרִים,Erev Purim
23/03/2027,פּוּרִים,Purim
24/03/2027,שׁוּשָׁן פּוּרִים,Shushan Purim
27/03/2027,שַׁבָּת פּרה,Shabbat Parah
27/03/2027,פָּרָשַׁת צַו,Parashat Tzav
03/04/2027,שַׁבָּת הַחֹדֶשׁ,Shabbat HaChodesh
03/04/2027,פָּרָשַׁת שְּׁמִינִי,Parashat Shmini
10/04/2027,פָּרָשַׁת תַזְרִיעַ,Parashat Tazria
17/04/2027,שַׁבָּת הַגָּדוֹל,Shabbat HaGadol
17/04/2027,פָּרָשַׁת מְּצֹרָע,Parashat Metzora
21/04/2027,עֶרֶב פֶּסַח,Erev Pesach
22/04/2027,פֶּסַח א׳,Pesach I
23/04/2027,פֶּסַח ב׳,Pesach II
24/04/2027,פֶּסַח ג׳ (חוה״מ),Pesach III (CH‚Äô‚ÄôM)
25/04/2027,פֶּסַח ד׳ (חוה״מ),Pesach IV (CH‚Äô‚ÄôM)
26/04/2027,פֶּסַח ה׳ (חוה״מ),Pesach V (CH‚Äô‚ÄôM)
27/04/2027,פֶּסַח ו׳ (חוה״מ),Pesach VI (CH‚Äô‚ÄôM)
28/04/2027,פֶּסַח ז׳,Pesach VII
29/04/2027,פֶּסַח ח׳,Pesach VIII
01/05/2027,פָּרָשַׁת אַחֲרֵי מוֹת,Parashat Achrei Mot
08/05/2027,פָּרָשַׁת קְדשִׁים,Parashat Kedoshim
15/05/2027,פָּרָשַׁת אֱמוֹר,Parashat Emor
21/05/2027,פֶּסַח שני,Pesach Sheni
22/05/2027,פָּרָשַׁת בְּהַר,Parashat Behar
25/05/2027,ל״ג בָּעוֹמֶר,Lag BaOmer
29/05/2027,פָּרָשַׁת בְּחֻקֹּתַי,Parashat Bechukotai
05/06/2027,פָּרָשַׁת בְּמִדְבַּר,Parashat Bamidbar
10/06/2027,עֶרֶב שָׁבוּעוֹת,Erev Shavuot
11/06/2027,שָׁבוּעוֹת א׳,Shavuot I
12/06/2027,שָׁבוּעוֹת ב׳,Shavuot II
19/06/2027,פָּרָשַׁת נָשׂא,Parashat Nasso
26/06/2027,פָּרָשַׁת בְּהַעֲלֹתְךָ,Parashat Beha‚Äôalotcha
03/07/2027,פָּרָשַׁת שְׁלַח־לְךָ,Parashat Sh‚Äôlach
10/07/2027,פָּרָשַׁת קוֹרַח,Parashat Korach
17/07/2027,פָּרָשַׁת חֻקַּת־בָּלָק,Parashat Chukat-Balak
24/07/2027,פָּרָשַׁת פִּינְחָס,Parashat Pinchas
31/07/2027,פָּרָשַׁת מַּטּוֹת־מַסְעֵי,Parashat Matot-Masei
07/08/2027,שַׁבָּת חֲזוֹן,Shabbat Chazon
07/08/2027,פָּרָשַׁת דְּבָרִים,Parashat Devarim
11/08/2027,עֶרֶב תִּשְׁעָה בְּאָב,Erev Tish‚Äôa B‚ÄôAv
12/08/2027,תִּשְׁעָה בְּאָב,Tish‚Äôa B‚ÄôAv
14/08/2027,שַׁבָּת נַחֲמוּ,Shabbat Nachamu
14/08/2027,פָּרָשַׁת וָאֶתְחַנַּן,Parashat Vaetchanan
18/08/2027,טוּ בְּאָב,Tu B‚ÄôAv
21/08/2027,פָּרָשַׁת עֵקֶב,Parashat Eikev
28/08/2027,פָּרָשַׁת רְאֵה,Parashat Re‚Äôeh
03/09/2027,רֹאשׁ הַשָּׁנָה לְמַעְשַׂר בְּהֵמָה,Rosh Hashana LaBehemot
04/09/2027,פָּרָשַׁת שׁוֹפְטִים,Parashat Shoftim
11/09/2027,פָּרָשַׁת כִּי־תֵצֵא,Parashat Ki Teitzei
18/09/2027,פָּרָשַׁת כִּי־תָבוֹא,Parashat Ki Tavo
25/09/2027,סליחות,Leil Selichot
25/09/2027,פָּרָשַׁת נִצָּבִים־וַיֵּלֶךְ,Parashat Nitzavim-Vayeilech
01/10/2027,עֶרֶב רֹאשׁ הַשָּׁנָה,Erev Rosh Hashana
02/10/2027,רֹאשׁ הַשָּׁנָה 5788,Rosh Hashana 5788
03/10/2027,רֹאשׁ הַשָּׁנָה ב׳,Rosh Hashana II
09/10/2027,שַׁבָּת שׁוּבָה,Shabbat Shuva
09/10/2027,פָּרָשַׁת הַאֲזִינוּ,Parashat Ha‚Äôazinu
10/10/2027,עֶרֶב יוֹם כִּפּוּר,Erev Yom Kippur
11/10/2027,יוֹם כִּפּוּר,Yom Kippur
15/10/2027,עֶרֶב סוּכּוֹת,Erev Sukkot
16/10/2027,סוּכּוֹת א׳,Sukkot I
17/10/2027,סוּכּוֹת ב׳,Sukkot II
18/10/2027,סוּכּוֹת ג׳ (חוה״מ),Sukkot III (CH‚Äô‚ÄôM)
19/10/2027,סוּכּוֹת ד׳ (חוה״מ),Sukkot IV (CH‚Äô‚ÄôM)
20/10/2027,סוּכּוֹת ה׳ (חוה״מ),Sukkot V (CH‚Äô‚ÄôM)
21/10/2027,סוּכּוֹת ו׳ (חוה״מ),Sukkot VI (CH‚Äô‚ÄôM)
22/10/2027,סוּכּוֹת ז׳ (הוֹשַׁעְנָא רַבָּה),Sukkot VII (Hoshana Raba)
23/10/2027,שְׁמִינִי עֲצֶרֶת,Shmini Atzeret
24/10/2027,שִׂמְחַת תּוֹרָה,Simchat Torah
30/10/2027,פָּרָשַׁת בְּרֵאשִׁית,Parashat Bereshit
06/11/2027,פָּרָשַׁת נֹחַ,Parashat Noach
13/11/2027,פָּרָשַׁת לֶךְ־לְךָ,Parashat Lech-Lecha
20/11/2027,פָּרָשַׁת וַיֵּרָא,Parashat Vayera
27/11/2027,פָּרָשַׁת חַיֵּי שָֹרָה,Parashat Chayei Sara
04/12/2027,פָּרָשַׁת תּוֹלְדוֹת,Parashat Toldot
11/12/2027,פָּרָשַׁת וַיֵּצֵא,Parashat Vayetzei
18/12/2027,פָּרָשַׁת וַיִּשְׁלַח,Parashat Vayishlach
24/12/2027,חֲנוּכָּה: א׳ נֵר,Chanukah: 1 Candle
25/12/2027,חֲנוּכָּה: ב׳ נֵרוֹת,Chanukah: 2 Candles
25/12/2027,פָּרָשַׁת וַיֵּשֶׁב,Parashat Vayeshev
26/12/2027,חֲנוּכָּה: ג׳ נֵרוֹת,Chanukah: 3 Candles
27/12/2027,חֲנוּכָּה: ד׳ נֵרוֹת,Chanukah: 4 Candles
28/12/2027,חֲנוּכָּה: ה׳ נֵרוֹת,Chanukah: 5 Candles
29/12/2027,חֲנוּכָּה: ו׳ נֵרוֹת,Chanukah: 6 Candles
30/12/2027,חַג הַבָּנוֹת,Chag HaBanot
30/12/2027,חֲנוּכָּה: ז׳ נֵרוֹת,Chanukah: 7 Candles
31/12/2027,חֲנוּכָּה: ח׳ נֵרוֹת,Chanukah: 8 Candles
01/01/2028,חֲנוּכָּה: יוֹם ח׳,Chanukah: 8th Day
01/01/2028,פָּרָשַׁת מִקֵּץ,Parashat Miketz
08/01/2028,פָּרָשַׁת וַיִּגַּשׁ,Parashat Vayigash
15/01/2028,פָּרָשַׁת וַיְחִי,Parashat Vayechi
22/01/2028,פָּרָשַׁת שְׁמוֹת,Parashat Shemot
29/01/2028,פָּרָשַׁת וָאֵרָא,Parashat Vaera
05/02/2028,פָּרָשַׁת בֹּא,Parashat Bo
12/02/2028,טוּ בִּשְׁבָט,Tu BiShvat
12/02/2028,שַׁבָּת שִׁירָה,Shabbat Shirah
12/02/2028,פָּרָשַׁת בְּשַׁלַּח,Parashat Beshalach
19/02/2028,פָּרָשַׁת יִתְרוֹ,Parashat Yitro
26/02/2028,שַׁבָּת שְׁקָלִים,Shabbat Shekalim
26/02/2028,פָּרָשַׁת מִּשְׁפָּטִים,Parashat Mishpatim
